# File generated by CMD 3.1 (http://stev.oapd.inaf.it/cmd) on Fri Apr  8 14:41:56 CEST 2022
# Basic reference: Girardi et al. (2002, A&A 391, 195)
#  uses the "basic set" of tracks described in Table 1 of Girardi et al. (2002, A&A 391, 195)
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using OBC version of bolometric corrections as detailed in Marigo et al. (2008, A&A 482, 883) and Girardi et al. (2008, PASP 120, 583)
# BCs of Carbon stars derive from Aringer et al. (2009, A&A 503, 913)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Chabrier (2001) lognormal 
# Kind of output: isochrone tables
#	Isochrone	Z = 0.01520		Age = 	3.000e+08 yr
# log(age/yr)	M_ini   	M_act	logL/Lo	logTe	logG	mbol    U       B       V       R       I       J       H       K	int_IMF	stage
	8.48	3.49154902	3.4683	3.0637	3.6235	1.3544	-2.889	0.700	-0.791	-2.180	-2.901	-3.509	-4.427	-5.158	-5.265	3.31188893	          
	8.48	3.49215078	3.4684	3.1306	3.6182	1.2662	-3.057	0.703	-0.869	-2.291	-3.033	-3.663	-4.606	-5.354	-5.466	3.31189704	          
	8.48	3.49269319	3.4683	3.2020	3.6124	1.1717	-3.235	0.711	-0.949	-2.408	-3.174	-3.826	-4.796	-5.564	-5.682	3.31190443	          
	8.48	3.49312758	3.4681	3.2686	3.6070	1.0836	-3.401	0.720	-1.025	-2.518	-3.306	-3.978	-4.973	-5.760	-5.884	3.31191015	          
	8.48	3.49348164	3.4677	3.3310	3.6017	0.9998	-3.558	0.739	-1.091	-2.619	-3.427	-4.120	-5.140	-5.945	-6.074	3.31191492	          
	8.48	3.49385405	3.4672	3.4057	3.5952	0.8993	-3.744	0.741	-1.151	-2.714	-3.553	-4.283	-5.341	-6.166	-6.302	3.31191993	          
	8.48	3.49415851	3.4664	3.4800	3.5887	0.7988	-3.930	0.731	-1.203	-2.799	-3.671	-4.442	-5.541	-6.386	-6.529	3.31192422	          
	8.48	3.49446630	3.4653	3.5651	3.5812	0.6835	-4.143	0.717	-1.262	-2.895	-3.806	-4.623	-5.769	-6.639	-6.790	3.31192827	          
	8.48	3.49480438	3.4635	3.6645	3.5717	0.5460	-4.391	0.672	-1.271	-2.933	-3.908	-4.810	-6.041	-6.941	-7.101	3.31193280	          
	8.48	3.49496102	3.4623	3.7074	3.5675	0.4859	-4.498	0.612	-1.233	-2.890	-3.908	-4.871	-6.164	-7.074	-7.238	3.31193495	          
